application_id,user_id,program_id,application_date,motivation_score,cv_score,technical_score,diversity_score,preferred_program_track,preferred_timeslot,selected,waitlisted,final_status,role,country,timezone,gender,education_level,field_of_study,years_experience,prior_neuromatch,preferred_language,interest_area,availability_slot,program_name,year,start_date,end_date,num_students,num_tas,region_focus,curriculum_hours_per_day,project_hours_per_day,total_hours_per_day,days_per_week,delivery_mode,num_timeslots,total_days,attended_curriculum_days,attended_project_days,total_curriculum_hours,total_project_hours,total_zoom_minutes,assignments_completed_total,forum_messages_total,help_requests_total,attendance_rate_curriculum,attendance_rate_project,avg_zoom_minutes_per_day,avg_forum_messages_per_day,avg_help_requests_per_day,post_score,pre_score,mid_score,learning_gain,avg_satisfaction,avg_difficulty,avg_content_quality,avg_ta_support,survey_response_count,dropout_day,reason,dropped_out,support_ticket_count,avg_support_response_time,avg_support_satisfaction,completion_status,engagement_score,survey_response_rate
A000029,U00035,P001,2026-03-01,42.52363490171739,54.347700645568914,100.0,51,Research,Slot 4,1,0,accepted,student,Germany,UTC+1,Female,UG,AI,9,0,Hindi,Neural Coding,Slot 4,Computational Neuroscience,2025,2025-06-22,2025-07-24,363,18,global,4.5,3,8,5,virtual,5,20,16,16,67.63,47.07,3810,16,100,31,0.8,0.8,190.5,5.0,1.55,65.0,53.0,,12.0,5.0,2.0,3.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000030,U00036,P007,2026-03-01,54.4938147339787,70.77677132919443,84.75430682526624,65,Research,Slot 2,1,0,accepted,student,Kenya,UTC+3,Female,Masters,Climate,6,0,Hindi,CV,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5,20,18,18,68.5,37.31,3719,18,102,34,0.9,0.9,185.95,5.1,1.7,59.0,50.0,,9.0,4.0,4.0,4.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000031,U00037,P001,2026-03-01,66.33094934705377,55.08565877358319,77.81992253094305,83,Research,Slot 1,1,0,accepted,student,Kenya,UTC+3,Male,UG,CS,3,1,French,Neural Coding,Slot 1,Computational Neuroscience,2025,2025-06-22,2025-07-24,363,18,global,4.5,3,8,5,virtual,5,20,16,16,66.08,41.43,3240,16,76,33,0.8,0.8,162.0,3.8,1.65,69.0,40.0,,29.0,4.0,4.0,5.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000035,U00042,P002,2026-03-01,74.66540859278604,38.88419750486449,100.0,49,Research,Slot 1,1,0,accepted,student,Brazil,UTC-3,Non-binary,PhD,Neuro,9,0,Hindi,NLP,Slot 1,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5,20,14,14,62.78,39.92,2992,14,106,34,0.7,0.7,149.6,5.3,1.7,59.0,40.0,,19.0,4.0,4.0,3.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000040,U00048,P006,2026-03-01,76.01947506512397,66.80495630414647,73.29028121278388,81,Research,Slot 1,1,0,accepted,student,Japan,UTC+9,Female,UG,CS,7,0,Hindi,NLP,Slot 1,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,15,15,61.730000000000004,38.06,3626,15,96,38,0.75,0.75,181.3,4.8,1.9,60.0,53.0,,7.0,3.0,4.0,5.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000048,U00056,P008,2026-03-01,68.21454429253406,50.45616429321544,85.4693490206037,40,Research,Slot 2,1,0,accepted,student,Germany,UTC+1,Male,Masters,Neuro,7,0,French,CV,Slot 2,NeuroAI,2026,2026-06-22,2026-07-24,223,21,global,4.5,3,8,5,virtual,5,20,18,18,65.87,38.7,3403,18,107,33,0.9,0.9,170.15,5.35,1.65,56.0,50.0,,6.0,5.0,5.0,5.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000055,U00064,P002,2026-03-01,69.78369937769772,37.76803098278857,90.3914411795015,40,Research,Slot 4,1,0,accepted,student,Canada,UTC-5,Female,Masters,Neuro,7,0,Spanish,CV,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5,20,16,16,65.95,39.16,3130,16,102,37,0.8,0.8,156.5,5.1,1.85,58.0,49.0,,9.0,4.0,3.0,3.0,5.0,1,20.0,difficulty,1,,,,1,1.0,0.3333333333333333
A000056,U00065,P004,2026-03-01,65.3335924470545,58.39468504518405,100.0,88,Research,Slot 5,1,0,accepted,student,Canada,UTC-5,Non-binary,PhD,AI,8,0,French,RL,Slot 5,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,17,17,61.98,40.71,3952,17,92,32,0.85,0.85,197.6,4.6,1.6,56.0,41.0,,15.0,3.0,5.0,5.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000057,U00066,P002,2026-03-01,66.08228895307312,47.79057738495239,98.6141552377198,81,Research,Slot 5,1,0,accepted,student,India,UTC+5:30,Female,Masters,AI,9,0,Hindi,Climate,Slot 5,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5,20,15,15,69.39,36.39,3493,15,106,20,0.75,0.75,174.65,5.3,1.0,81.0,59.0,,22.0,3.0,3.0,4.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000061,U00070,P002,2026-03-01,65.82737583173865,54.96873590507597,83.77965194445619,89,Research,Slot 5,1,0,accepted,student,Japan,UTC+9,Non-binary,UG,Climate,8,0,Hindi,Time Series,Slot 5,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5,20,17,17,61.96,43.89,3158,17,101,34,0.85,0.85,157.9,5.05,1.7,78.0,61.0,,17.0,3.0,2.0,4.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000064,U00073,P001,2026-03-01,63.73324144497762,56.303924720320566,100.0,49,Research,Slot 2,1,0,accepted,student,Brazil,UTC-3,Non-binary,PhD,Climate,7,0,English,Climate,Slot 2,Computational Neuroscience,2025,2025-06-22,2025-07-24,363,18,global,4.5,3,8,5,virtual,5,20,14,14,61.0,41.129999999999995,3473,14,111,34,0.7,0.7,173.65,5.55,1.7,86.0,56.0,,30.0,5.0,3.0,4.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000067,U00077,P007,2026-03-01,80.42076040143743,52.77358461964676,91.03438129308108,40,Research,Slot 3,1,0,accepted,student,USA,UTC-5,Non-binary,Masters,AI,8,0,French,NLP,Slot 3,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5,20,13,13,70.62,39.980000000000004,3565,13,93,31,0.65,0.65,178.25,4.65,1.55,77.0,51.0,,26.0,4.0,4.0,3.0,5.0,1,,,0,,,,0,1.0,0.3333333333333333
A000071,U00081,P008,2026-03-01,69.6513359057238,61.25692816016916,70.43894264859429,46,Research,Slot 4,1,0,accepted,student,Canada,UTC-5,Female,UG,Neuro,5,0,French,RL,Slot 4,NeuroAI,2026,2026-06-22,2026-07-24,223,21,global,4.5,3,8,5,virtual,5,20,17,17,63.650000000000006,41.65,3853,17,107,35,0.85,0.85,192.65,5.35,1.75,78.0,60.0,,18.0,4.0,2.0,5.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000079,U00089,P004,2026-03-01,62.10546763441148,55.39453942356131,86.62998936994103,70,Research,Slot 2,1,0,accepted,student,Brazil,UTC-3,Male,UG,Climate,4,1,English,Climate,Slot 2,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,15,15,64.44,41.339999999999996,3651,15,88,37,0.75,0.75,182.55,4.4,1.85,78.0,59.0,,19.0,4.0,5.0,3.0,3.0,1,13.0,difficulty,1,,,,1,1.0,0.3333333333333333
A000088,U00101,P007,2026-03-01,76.71582950744397,67.59697192334312,94.29350235422471,55,Research,Slot 2,1,0,accepted,student,USA,UTC-5,Male,PhD,Climate,8,0,Hindi,Climate,Slot 2,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5,20,16,16,67.97,43.269999999999996,3505,16,79,35,0.8,0.8,175.25,3.95,1.75,61.0,54.0,,7.0,4.0,3.0,5.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000094,U00107,P007,2026-03-01,59.12564671222819,55.48319627554498,90.24396537823222,74,Research,Slot 5,1,0,accepted,student,Brazil,UTC-3,Male,UG,Climate,3,0,French,Time Series,Slot 5,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5,20,19,19,67.74,40.199999999999996,3695,19,112,23,0.95,0.95,184.75,5.6,1.15,60.0,49.0,,11.0,4.0,3.0,4.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000095,U00108,P005,2026-03-01,70.0380154833248,51.374763451411454,85.3316411668543,47,Research,Slot 2,1,0,accepted,student,Kenya,UTC+3,Male,UG,Neuro,4,0,Spanish,NLP,Slot 2,Computational Neuroscience,2026,2026-06-22,2026-07-24,373,17,global,4.5,3,8,5,virtual,5,20,16,16,66.78,36.63,3223,16,122,34,0.8,0.8,161.15,6.1,1.7,72.0,61.0,,11.0,4.0,3.0,3.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000098,U00111,P001,2026-03-01,70.0800400429326,44.503954153351664,93.64243614734228,46,Research,Slot 1,1,0,accepted,student,Kenya,UTC+3,Female,Masters,Climate,7,0,French,CV,Slot 1,Computational Neuroscience,2025,2025-06-22,2025-07-24,363,18,global,4.5,3,8,5,virtual,5,20,17,17,76.09,41.39,3828,17,108,37,0.85,0.85,191.4,5.4,1.85,80.0,62.0,,18.0,5.0,4.0,5.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000101,U00115,P006,2026-03-01,70.82962771019112,58.98139720816636,81.21213111667892,46,Research,Slot 1,1,0,accepted,student,Kenya,UTC+3,Non-binary,Masters,Neuro,8,0,English,Climate,Slot 1,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,18,18,64.13,38.13,3437,18,108,37,0.9,0.9,171.85,5.4,1.85,61.0,40.0,,21.0,4.0,3.0,5.0,3.0,1,17.0,low_engagement,1,,,,1,1.0,0.3333333333333333
A000103,U00117,P005,2026-03-01,70.11847083639415,51.84564352545378,85.33074984598515,66,Research,Slot 4,1,0,accepted,student,Brazil,UTC-3,Non-binary,UG,AI,5,0,English,RL,Slot 4,Computational Neuroscience,2026,2026-06-22,2026-07-24,373,17,global,4.5,3,8,5,virtual,5,20,17,17,61.51,39.92,3991,17,109,22,0.85,0.85,199.55,5.45,1.1,69.0,41.0,,28.0,4.0,5.0,5.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000107,U00121,P006,2026-03-01,50.475647692096,51.53548638320741,100.0,41,Research,Slot 1,1,0,accepted,student,USA,UTC-5,Male,UG,Neuro,8,0,French,RL,Slot 1,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,15,15,60.15,37.8,3545,15,111,32,0.75,0.75,177.25,5.55,1.6,87.0,64.0,,23.0,5.0,2.0,4.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000117,U00133,P001,2026-03-01,66.30959077022914,51.35071879861794,92.74124900678213,64,Research,Slot 4,1,0,accepted,student,India,UTC+5:30,Non-binary,Masters,CS,7,1,Spanish,Neural Coding,Slot 4,Computational Neuroscience,2025,2025-06-22,2025-07-24,363,18,global,4.5,3,8,5,virtual,5,20,15,15,61.730000000000004,45.4,3842,15,107,29,0.75,0.75,192.1,5.35,1.45,49.0,41.0,,8.0,3.0,3.0,4.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000120,U00136,P002,2026-03-01,71.69394073696259,48.074837761574464,85.1183665232959,47,Research,Slot 4,1,0,accepted,student,Canada,UTC-5,Male,PhD,AI,9,0,English,NLP,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5,20,14,14,62.93,40.03,3571,14,95,34,0.7,0.7,178.55,4.75,1.7,48.0,41.0,,7.0,3.0,2.0,4.0,5.0,1,,,0,1.0,18.6,5.0,1,1.0,0.3333333333333333
A000125,U00143,P006,2026-03-01,62.31842092134848,61.460301441420654,82.99647422205837,46,Research,Slot 3,1,0,accepted,student,Canada,UTC-5,Non-binary,UG,CS,7,1,Hindi,NLP,Slot 3,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,13,13,65.2,39.76,3529,13,115,33,0.65,0.65,176.45,5.75,1.65,83.0,69.0,,14.0,4.0,5.0,3.0,4.0,1,,,0,,,,0,1.0,0.3333333333333333
A000127,U00145,P006,2026-03-01,70.00021715092822,66.9743218133677,76.84348516124982,62,Research,Slot 1,1,0,accepted,student,India,UTC+5:30,Non-binary,UG,AI,2,0,French,CV,Slot 1,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,17,17,64.26,40.87,4027,17,98,34,0.85,0.85,201.35,4.9,1.7,93.0,64.0,,29.0,3.0,4.0,4.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000133,U00152,P008,2026-03-01,55.5784502976348,49.82035711542844,91.41628864329488,45,Research,Slot 2,1,0,accepted,student,Kenya,UTC+3,Non-binary,Masters,Neuro,6,0,Hindi,NLP,Slot 2,NeuroAI,2026,2026-06-22,2026-07-24,223,21,global,4.5,3,8,5,virtual,5,20,15,15,63.589999999999996,41.67,3962,15,94,31,0.75,0.75,198.1,4.7,1.55,81.0,53.0,,28.0,5.0,2.0,4.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000135,U00154,P006,2026-03-01,60.718641644583336,46.491152263710006,93.8626142681536,78,Research,Slot 1,1,0,accepted,student,Kenya,UTC+3,Non-binary,Masters,CS,9,0,Hindi,NLP,Slot 1,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,17,17,69.52,38.81,3647,17,96,37,0.85,0.85,182.35,4.8,1.85,49.0,43.0,,6.0,4.0,5.0,5.0,3.0,1,9.0,time_constraint,1,,,,1,1.0,0.3333333333333333
A000138,U00158,P001,2026-03-01,56.880980168911215,55.13232426815183,97.34598128302996,67,Research,Slot 4,1,0,accepted,student,UK,UTC+0,Non-binary,UG,CS,8,1,French,NLP,Slot 4,Computational Neuroscience,2025,2025-06-22,2025-07-24,363,18,global,4.5,3,8,5,virtual,5,20,14,14,64.23,42.410000000000004,3530,14,87,26,0.7,0.7,176.5,4.35,1.3,74.0,63.0,,11.0,3.0,2.0,4.0,3.0,1,19.0,difficulty,1,,,,1,1.0,0.3333333333333333
A000139,U00159,P004,2026-03-01,76.40728941005534,46.01663555869763,76.87899967995911,73,Research,Slot 3,1,0,accepted,student,Brazil,UTC-3,Male,UG,Neuro,4,0,French,CV,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,15,15,61.49,39.2,3423,15,98,24,0.75,0.75,171.15,4.9,1.2,68.0,59.0,,9.0,4.0,2.0,4.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000140,U00160,P004,2026-03-01,59.18048214936905,60.9082266785552,96.85369780823788,61,Research,Slot 1,1,0,accepted,student,Japan,UTC+9,Female,PhD,Neuro,7,0,English,RL,Slot 1,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,16,16,67.24,47.24,3095,16,106,27,0.8,0.8,154.75,5.3,1.35,76.0,55.0,,21.0,5.0,3.0,4.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000141,U00161,P002,2026-03-01,65.58336423211705,68.56647436561954,65.45491476330751,78,Research,Slot 4,1,0,accepted,student,Brazil,UTC-3,Male,PhD,Climate,3,0,French,Neural Coding,Slot 4,Deep Learning,2025,2025-06-22,2025-07-24,206,23,global,4.5,3,8,5,virtual,5,20,14,14,65.98,43.96,3865,14,110,30,0.7,0.7,193.25,5.5,1.5,77.0,56.0,,21.0,4.0,4.0,4.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000146,U00167,P005,2026-03-01,56.39968503005043,55.24204170901547,100.0,82,Research,Slot 1,1,0,accepted,student,Canada,UTC-5,Non-binary,PhD,AI,8,0,Hindi,Time Series,Slot 1,Computational Neuroscience,2026,2026-06-22,2026-07-24,373,17,global,4.5,3,8,5,virtual,5,20,13,13,58.96,37.06,3469,13,82,38,0.65,0.65,173.45,4.1,1.9,65.0,57.0,,8.0,5.0,5.0,3.0,3.0,1,,,0,,,,0,1.0,0.3333333333333333
A000148,U00169,P004,2026-03-01,68.8050766387854,54.96088496292565,90.46273609557666,59,Research,Slot 3,1,0,accepted,student,Germany,UTC+1,Female,Masters,AI,7,0,French,Neural Coding,Slot 3,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,16,16,63.370000000000005,40.31,3802,16,106,29,0.8,0.8,190.1,5.3,1.45,81.0,57.0,,24.0,4.0,4.0,4.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
A000149,U00170,P007,2026-03-01,69.29409984790816,48.678634110984525,83.78756259905609,79,Research,Slot 4,1,0,accepted,student,UK,UTC+0,Male,Masters,Neuro,9,0,Spanish,Neural Coding,Slot 4,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5,20,19,19,60.03,42.13,3625,19,109,30,0.95,0.95,181.25,5.45,1.5,52.0,46.0,,6.0,3.0,3.0,5.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000155,U00178,P007,2026-03-01,59.32770437849013,38.6282122419744,97.9364877386307,82,Research,Slot 1,1,0,accepted,student,India,UTC+5:30,Non-binary,PhD,Neuro,9,0,Hindi,Time Series,Slot 1,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5,20,16,16,64.63,40.14,3810,16,127,30,0.8,0.8,190.5,6.35,1.5,78.0,48.0,,30.0,3.0,4.0,5.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000164,U00190,P005,2026-03-01,59.9752016887684,61.16188064433848,91.9548065082548,81,Research,Slot 3,1,0,accepted,student,India,UTC+5:30,Non-binary,PhD,Neuro,6,1,English,CV,Slot 3,Computational Neuroscience,2026,2026-06-22,2026-07-24,373,17,global,4.5,3,8,5,virtual,5,20,19,19,66.55,38.26,4219,19,104,28,0.95,0.95,210.95,5.2,1.4,85.0,68.0,,17.0,4.0,2.0,5.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000173,U00199,P003,2026-03-01,62.98200278098241,49.95378311096478,82.89991888329978,70,Research,Slot 3,1,0,accepted,student,India,UTC+5:30,Male,UG,Neuro,8,0,Spanish,CV,Slot 3,Computational Tools for Climate Science,2025,2025-06-22,2025-07-24,262,22,global,4.5,3,8,5,virtual,5,20,17,17,67.89,43.77,3836,17,89,36,0.85,0.85,191.8,4.45,1.8,69.0,61.0,,8.0,4.0,5.0,5.0,5.0,1,,,0,,,,1,1.0,0.3333333333333333
A000182,U00210,P006,2026-03-01,66.55971464959642,56.90266399172919,85.53891552295883,60,Research,Slot 3,1,0,accepted,student,Brazil,UTC-3,Female,UG,Climate,5,0,Hindi,Time Series,Slot 3,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,18,18,64.73,38.05,3798,18,108,36,0.9,0.9,189.9,5.4,1.8,64.0,52.0,,12.0,3.0,4.0,4.0,3.0,1,2.0,difficulty,1,,,,1,1.0,0.3333333333333333
A000185,U00215,P007,2026-03-01,72.52367096660775,55.53768462815432,68.41326494520749,89,Research,Slot 4,1,0,accepted,student,UK,UTC+0,Non-binary,UG,AI,4,0,English,CV,Slot 4,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5,20,16,16,67.84,39.16,4046,16,93,29,0.8,0.8,202.3,4.65,1.45,78.0,57.0,,21.0,5.0,2.0,4.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000186,U00216,P007,2026-03-01,59.50795083826632,54.89083878150743,91.47575744936272,64,Research,Slot 3,1,0,accepted,student,Japan,UTC+9,Non-binary,PhD,AI,9,1,French,NLP,Slot 3,Computational Tools for Climate Science,2026,2026-06-22,2026-07-24,208,15,global,4.5,3,8,5,virtual,5,20,18,18,69.17999999999999,38.15,3463,18,92,27,0.9,0.9,173.15,4.6,1.35,61.0,43.0,,18.0,5.0,3.0,4.0,3.0,1,2.0,low_engagement,1,,,,1,1.0,0.3333333333333333
A000187,U00217,P006,2026-03-01,70.26256426270984,55.337032009686375,89.70223529157171,62,Research,Slot 3,1,0,accepted,student,Canada,UTC-5,Female,Masters,CS,9,0,French,Neural Coding,Slot 3,Deep Learning,2026,2026-06-22,2026-07-24,351,28,global,4.5,3,8,5,virtual,5,20,16,16,66.21,36.97,3877,16,120,29,0.8,0.8,193.85,6.0,1.45,91.0,70.0,,21.0,3.0,2.0,5.0,3.0,1,,,0,,,,1,1.0,0.3333333333333333
A000188,U00218,P004,2026-03-01,55.12294627051256,60.74333004770244,100.0,60,Research,Slot 5,1,0,accepted,student,USA,UTC-5,Non-binary,PhD,Climate,8,0,French,NLP,Slot 5,NeuroAI,2025,2025-06-22,2025-07-24,235,18,global,4.5,3,8,5,virtual,5,20,18,18,66.92,36.12,3742,18,97,28,0.9,0.9,187.1,4.85,1.4,82.0,55.0,,27.0,3.0,2.0,3.0,4.0,1,,,0,,,,1,1.0,0.3333333333333333
