user_id,role,country,timezone,gender,education_level,field_of_study,years_experience,prior_neuromatch,preferred_language,interest_area,availability_slot
U00084,student,India,UTC+5:30,Female,PhD,CS,0,0,English,Time Series,Slot 4
U00085,student,Brazil,UTC-3,Female,UG,CS,4,0,French,RL,Slot 3
U00086,student,Germany,UTC+1,Female,Masters,Neuro,3,0,Hindi,NLP,Slot 4
U00087,student,Kenya,UTC+3,Male,Masters,CS,0,1,English,NLP,Slot 2
U00088,student,USA,UTC-5,Non-binary,UG,CS,4,1,Spanish,CV,Slot 1
U00089,student,Brazil,UTC-3,Male,UG,Climate,4,1,English,Climate,Slot 2
U00090,student,Japan,UTC+9,Non-binary,Masters,Neuro,4,0,Spanish,Climate,Slot 5
U00091,instructor,USA,UTC-5,Male,Masters,CS,3,0,English,NLP,Slot 5
U00092,student,Canada,UTC-5,Female,PhD,AI,6,0,English,Climate,Slot 2
U00093,student,USA,UTC-5,Non-binary,Masters,CS,1,0,English,NLP,Slot 5
U00094,ta,Canada,UTC-5,Non-binary,Masters,CS,9,1,French,Neural Coding,Slot 4
U00095,student,Japan,UTC+9,Male,Masters,Neuro,1,0,Hindi,Time Series,Slot 2
U00096,instructor,Canada,UTC-5,Male,PhD,Neuro,1,0,Hindi,RL,Slot 4
U00097,student,Kenya,UTC+3,Female,UG,CS,9,0,French,RL,Slot 2
U00098,student,Japan,UTC+9,Non-binary,PhD,Climate,5,0,French,Neural Coding,Slot 4
U00099,student,UK,UTC+0,Male,Masters,AI,6,0,French,NLP,Slot 3
U00100,student,Kenya,UTC+3,Non-binary,PhD,Neuro,7,1,English,Climate,Slot 2
U00101,student,USA,UTC-5,Male,PhD,Climate,8,0,Hindi,Climate,Slot 2
U00102,student,Japan,UTC+9,Non-binary,PhD,Climate,7,0,Hindi,Neural Coding,Slot 1
U00103,student,Kenya,UTC+3,Male,Masters,AI,2,0,French,Time Series,Slot 5
U00104,student,UK,UTC+0,Female,PhD,Neuro,1,0,Hindi,Time Series,Slot 5
U00105,student,UK,UTC+0,Female,PhD,Climate,2,0,French,NLP,Slot 3
U00106,student,Germany,UTC+1,Male,PhD,AI,5,0,French,Neural Coding,Slot 5
U00107,student,Brazil,UTC-3,Male,UG,Climate,3,0,French,Time Series,Slot 5
U00108,student,Kenya,UTC+3,Male,UG,Neuro,4,0,Spanish,NLP,Slot 2
U00109,student,Kenya,UTC+3,Male,PhD,AI,4,0,French,Neural Coding,Slot 1
U00110,student,Kenya,UTC+3,Non-binary,UG,Climate,3,0,English,Neural Coding,Slot 5
U00111,student,Kenya,UTC+3,Female,Masters,Climate,7,0,French,CV,Slot 1
U00112,instructor,Kenya,UTC+3,Female,UG,CS,9,0,Hindi,RL,Slot 1
U00113,student,India,UTC+5:30,Male,UG,Neuro,2,0,English,CV,Slot 1
U00114,student,Canada,UTC-5,Non-binary,PhD,AI,4,0,Hindi,RL,Slot 4
U00115,student,Kenya,UTC+3,Non-binary,Masters,Neuro,8,0,English,Climate,Slot 1
U00116,student,Germany,UTC+1,Non-binary,UG,Neuro,9,0,English,CV,Slot 2
U00117,student,Brazil,UTC-3,Non-binary,UG,AI,5,0,English,RL,Slot 4
U00118,student,Japan,UTC+9,Female,UG,AI,4,0,French,Time Series,Slot 3
U00119,student,Japan,UTC+9,Male,PhD,AI,4,0,French,Time Series,Slot 5
U00120,student,Germany,UTC+1,Female,UG,AI,9,0,Spanish,NLP,Slot 2
U00121,student,USA,UTC-5,Male,UG,Neuro,8,0,French,RL,Slot 1
U00122,student,Japan,UTC+9,Non-binary,Masters,Climate,0,0,French,Climate,Slot 5
U00123,instructor,Japan,UTC+9,Female,UG,CS,4,0,Hindi,Time Series,Slot 3
U00124,student,Kenya,UTC+3,Male,UG,AI,4,0,English,Time Series,Slot 3
U00125,student,India,UTC+5:30,Male,Masters,Climate,4,0,French,CV,Slot 5
U00126,student,Canada,UTC-5,Non-binary,Masters,CS,4,1,Hindi,NLP,Slot 4
U00127,student,UK,UTC+0,Female,PhD,CS,9,0,Spanish,NLP,Slot 4
U00128,student,Japan,UTC+9,Female,PhD,Climate,0,0,English,RL,Slot 1
U00129,student,UK,UTC+0,Female,Masters,CS,7,1,Hindi,Climate,Slot 1
U00130,ta,Japan,UTC+9,Female,UG,AI,3,0,French,Climate,Slot 4
U00131,student,Japan,UTC+9,Male,UG,Neuro,0,0,Spanish,NLP,Slot 4
U00132,student,Japan,UTC+9,Male,UG,AI,4,0,Spanish,NLP,Slot 5
U00133,student,India,UTC+5:30,Non-binary,Masters,CS,7,1,Spanish,Neural Coding,Slot 4
U00134,student,USA,UTC-5,Non-binary,UG,Climate,1,0,French,Climate,Slot 3
U00135,student,Canada,UTC-5,Female,Masters,AI,6,0,Hindi,Climate,Slot 2
U00136,student,Canada,UTC-5,Male,PhD,AI,9,0,English,NLP,Slot 4
U00137,student,UK,UTC+0,Non-binary,Masters,CS,2,0,French,Time Series,Slot 3
U00138,student,Japan,UTC+9,Male,Masters,Climate,4,0,French,NLP,Slot 5
U00139,ta,Canada,UTC-5,Female,Masters,AI,7,0,Spanish,Climate,Slot 4
U00140,student,Germany,UTC+1,Female,UG,Neuro,8,0,Hindi,Time Series,Slot 4
U00141,student,Canada,UTC-5,Non-binary,PhD,AI,7,1,Hindi,Neural Coding,Slot 2
U00142,instructor,UK,UTC+0,Male,Masters,CS,3,0,Hindi,Neural Coding,Slot 2
U00143,student,Canada,UTC-5,Non-binary,UG,CS,7,1,Hindi,NLP,Slot 3
U00144,student,Canada,UTC-5,Non-binary,UG,Neuro,0,0,Hindi,NLP,Slot 4
U00145,student,India,UTC+5:30,Non-binary,UG,AI,2,0,French,CV,Slot 1
U00146,ta,Canada,UTC-5,Male,PhD,CS,3,1,Hindi,CV,Slot 3
U00147,student,India,UTC+5:30,Male,Masters,CS,2,0,French,NLP,Slot 3
U00148,student,Canada,UTC-5,Male,UG,Climate,8,1,Spanish,CV,Slot 2
U00149,student,USA,UTC-5,Non-binary,Masters,AI,3,0,Hindi,Climate,Slot 2
U00150,student,Germany,UTC+1,Female,PhD,Neuro,4,0,Hindi,NLP,Slot 1
U00151,student,Japan,UTC+9,Female,PhD,AI,3,0,English,RL,Slot 3
U00152,student,Kenya,UTC+3,Non-binary,Masters,Neuro,6,0,Hindi,NLP,Slot 2
U00153,student,Canada,UTC-5,Female,UG,AI,4,0,Hindi,Climate,Slot 3
U00154,student,Kenya,UTC+3,Non-binary,Masters,CS,9,0,Hindi,NLP,Slot 1
U00155,ta,India,UTC+5:30,Non-binary,PhD,Climate,1,1,French,CV,Slot 5
U00156,student,UK,UTC+0,Male,PhD,AI,9,0,French,Time Series,Slot 2
U00157,student,USA,UTC-5,Non-binary,PhD,CS,6,0,French,RL,Slot 1
U00158,student,UK,UTC+0,Non-binary,UG,CS,8,1,French,NLP,Slot 4
U00159,student,Brazil,UTC-3,Male,UG,Neuro,4,0,French,CV,Slot 3
U00160,student,Japan,UTC+9,Female,PhD,Neuro,7,0,English,RL,Slot 1
U00161,student,Brazil,UTC-3,Male,PhD,Climate,3,0,French,Neural Coding,Slot 4
U00162,ta,India,UTC+5:30,Female,PhD,CS,3,0,Hindi,NLP,Slot 3
U00163,student,Canada,UTC-5,Non-binary,Masters,CS,2,0,Spanish,RL,Slot 1
U00164,student,UK,UTC+0,Non-binary,UG,CS,9,1,Hindi,Time Series,Slot 3
U00165,student,Canada,UTC-5,Male,UG,CS,2,0,English,NLP,Slot 4
U00166,student,USA,UTC-5,Male,UG,AI,9,0,Hindi,RL,Slot 3
U00167,student,Canada,UTC-5,Non-binary,PhD,AI,8,0,Hindi,Time Series,Slot 1
U00168,student,Japan,UTC+9,Non-binary,Masters,Neuro,8,0,English,Time Series,Slot 3
U00169,student,Germany,UTC+1,Female,Masters,AI,7,0,French,Neural Coding,Slot 3
U00170,student,UK,UTC+0,Male,Masters,Neuro,9,0,Spanish,Neural Coding,Slot 4
U00171,instructor,USA,UTC-5,Non-binary,UG,CS,4,0,English,NLP,Slot 2
U00172,ta,Brazil,UTC-3,Non-binary,UG,CS,4,0,Spanish,Climate,Slot 2
U00173,student,Germany,UTC+1,Female,UG,CS,8,0,French,CV,Slot 2
U00174,student,Kenya,UTC+3,Male,UG,CS,0,0,Spanish,Neural Coding,Slot 3
U00175,student,Germany,UTC+1,Non-binary,Masters,CS,6,0,Spanish,NLP,Slot 1
U00176,student,Brazil,UTC-3,Non-binary,Masters,CS,7,0,English,RL,Slot 4
U00177,student,UK,UTC+0,Non-binary,PhD,CS,4,0,Hindi,Climate,Slot 2
U00178,student,India,UTC+5:30,Non-binary,PhD,Neuro,9,0,Hindi,Time Series,Slot 1
U00179,student,India,UTC+5:30,Female,Masters,Climate,4,1,English,RL,Slot 4
U00180,instructor,USA,UTC-5,Male,Masters,AI,5,0,English,CV,Slot 3
U00181,student,UK,UTC+0,Female,PhD,Neuro,4,1,Hindi,Climate,Slot 5
U00182,student,Canada,UTC-5,Male,PhD,CS,2,1,Spanish,RL,Slot 4
U00183,ta,Germany,UTC+1,Female,Masters,Climate,4,0,Hindi,RL,Slot 1
U00184,student,UK,UTC+0,Female,Masters,Neuro,7,1,French,CV,Slot 4
U00185,student,USA,UTC-5,Male,UG,CS,4,0,Hindi,Neural Coding,Slot 3
U00186,student,Brazil,UTC-3,Non-binary,UG,Neuro,0,0,English,RL,Slot 3
U00187,instructor,Canada,UTC-5,Non-binary,UG,Neuro,4,0,French,NLP,Slot 1
U00188,student,Germany,UTC+1,Male,PhD,Climate,0,1,Spanish,Neural Coding,Slot 3
U00189,student,UK,UTC+0,Male,Masters,AI,2,0,Hindi,Climate,Slot 5
U00190,student,India,UTC+5:30,Non-binary,PhD,Neuro,6,1,English,CV,Slot 3
U00191,student,Kenya,UTC+3,Female,Masters,CS,4,1,Spanish,CV,Slot 5
U00192,student,Canada,UTC-5,Male,UG,CS,4,0,English,Time Series,Slot 5
U00193,student,Germany,UTC+1,Female,Masters,Climate,2,0,French,CV,Slot 3
U00194,student,Kenya,UTC+3,Non-binary,Masters,CS,0,1,English,CV,Slot 2
U00195,student,India,UTC+5:30,Non-binary,UG,Neuro,0,0,Hindi,Time Series,Slot 4
U00196,student,Japan,UTC+9,Non-binary,Masters,Climate,7,0,French,CV,Slot 5
U00197,student,USA,UTC-5,Female,Masters,CS,5,0,French,Time Series,Slot 5
U00198,student,Japan,UTC+9,Non-binary,PhD,Neuro,0,0,English,CV,Slot 4
U00199,student,India,UTC+5:30,Male,UG,Neuro,8,0,Spanish,CV,Slot 3
U00200,student,Kenya,UTC+3,Female,UG,CS,6,0,Hindi,Time Series,Slot 4
U00201,student,Brazil,UTC-3,Male,Masters,AI,1,1,French,Neural Coding,Slot 4
U00202,ta,India,UTC+5:30,Female,UG,Climate,1,0,English,NLP,Slot 5
U00203,student,Canada,UTC-5,Non-binary,Masters,Climate,2,1,French,Neural Coding,Slot 4
U00204,student,India,UTC+5:30,Female,UG,Climate,5,0,French,Neural Coding,Slot 4
U00205,ta,USA,UTC-5,Male,Masters,Climate,6,0,English,RL,Slot 3
U00206,student,UK,UTC+0,Male,Masters,AI,3,0,English,Climate,Slot 1
U00207,student,Germany,UTC+1,Female,Masters,AI,0,0,Spanish,Neural Coding,Slot 2
U00208,student,Kenya,UTC+3,Male,UG,AI,1,0,English,CV,Slot 4
U00209,student,Japan,UTC+9,Non-binary,PhD,Climate,2,0,French,Time Series,Slot 3
U00210,student,Brazil,UTC-3,Female,UG,Climate,5,0,Hindi,Time Series,Slot 3
U00211,student,Kenya,UTC+3,Non-binary,UG,Neuro,3,0,English,NLP,Slot 4
U00212,ta,Japan,UTC+9,Male,UG,Neuro,2,0,French,Neural Coding,Slot 1
U00213,instructor,Canada,UTC-5,Female,PhD,CS,9,0,Hindi,Climate,Slot 2
U00214,student,UK,UTC+0,Non-binary,Masters,AI,1,0,English,RL,Slot 1
U00215,student,UK,UTC+0,Non-binary,UG,AI,4,0,English,CV,Slot 4
U00216,student,Japan,UTC+9,Non-binary,PhD,AI,9,1,French,NLP,Slot 3
U00217,student,Canada,UTC-5,Female,Masters,CS,9,0,French,Neural Coding,Slot 3
U00218,student,USA,UTC-5,Non-binary,PhD,Climate,8,0,French,NLP,Slot 5
U00219,student,Brazil,UTC-3,Female,UG,AI,7,1,French,NLP,Slot 4
U00220,ta,Brazil,UTC-3,Non-binary,PhD,CS,0,0,French,Climate,Slot 4
U00221,student,UK,UTC+0,Male,PhD,CS,0,0,Hindi,Climate,Slot 3
U00222,instructor,India,UTC+5:30,Female,Masters,AI,7,0,Spanish,NLP,Slot 4
U00223,student,Germany,UTC+1,Male,UG,AI,6,0,English,NLP,Slot 1
U00224,student,India,UTC+5:30,Non-binary,Masters,AI,9,0,Hindi,CV,Slot 2
U00225,student,Brazil,UTC-3,Non-binary,PhD,AI,6,0,Hindi,Neural Coding,Slot 4
U00226,student,UK,UTC+0,Non-binary,PhD,AI,1,0,Hindi,Climate,Slot 3
U00227,student,Japan,UTC+9,Male,PhD,AI,8,0,French,RL,Slot 2
U00228,student,UK,UTC+0,Non-binary,PhD,Climate,6,0,Hindi,NLP,Slot 4
U00229,student,Canada,UTC-5,Male,UG,AI,9,0,French,Neural Coding,Slot 4
U00230,student,UK,UTC+0,Non-binary,UG,CS,3,0,French,Neural Coding,Slot 2
U00231,student,Kenya,UTC+3,Female,PhD,AI,8,0,Hindi,Neural Coding,Slot 2
U00232,student,Japan,UTC+9,Female,UG,Climate,5,0,English,RL,Slot 5
U00233,student,UK,UTC+0,Male,Masters,CS,0,0,French,CV,Slot 1
U00234,student,UK,UTC+0,Male,PhD,Neuro,4,0,Spanish,CV,Slot 1
U00235,student,Kenya,UTC+3,Female,PhD,AI,1,0,Hindi,RL,Slot 5
U00236,student,India,UTC+5:30,Male,UG,Neuro,5,0,Spanish,CV,Slot 5
U00237,student,Canada,UTC-5,Male,Masters,AI,5,0,French,Neural Coding,Slot 1
U00238,student,Germany,UTC+1,Female,PhD,Climate,3,1,English,Neural Coding,Slot 4
U00239,student,India,UTC+5:30,Non-binary,PhD,AI,7,1,Spanish,NLP,Slot 4
U00240,student,India,UTC+5:30,Non-binary,Masters,AI,2,0,Hindi,CV,Slot 1
U00241,student,UK,UTC+0,Male,PhD,CS,7,0,Hindi,RL,Slot 1
U00242,student,Canada,UTC-5,Female,Masters,CS,3,0,French,Neural Coding,Slot 3
U00243,instructor,Germany,UTC+1,Non-binary,PhD,CS,7,0,French,CV,Slot 1
U00244,student,UK,UTC+0,Non-binary,Masters,AI,1,0,Hindi,Time Series,Slot 4
U00245,student,Brazil,UTC-3,Male,UG,Climate,2,1,English,NLP,Slot 2
U00246,student,India,UTC+5:30,Male,UG,Neuro,9,0,French,Climate,Slot 4
U00247,student,Japan,UTC+9,Female,UG,AI,0,0,French,NLP,Slot 1
U00248,student,UK,UTC+0,Female,UG,Neuro,0,0,Hindi,RL,Slot 4
U00249,student,Canada,UTC-5,Female,UG,Climate,4,0,Hindi,NLP,Slot 5
U00250,ta,Kenya,UTC+3,Male,PhD,Climate,2,0,English,RL,Slot 5
U00251,student,Brazil,UTC-3,Non-binary,Masters,Neuro,9,0,English,Neural Coding,Slot 3
U00252,student,Kenya,UTC+3,Female,Masters,Climate,1,0,Spanish,Time Series,Slot 4
U00253,student,UK,UTC+0,Female,UG,Neuro,0,0,Hindi,NLP,Slot 1
U00254,student,USA,UTC-5,Non-binary,PhD,Climate,8,0,French,Climate,Slot 2
U00255,student,India,UTC+5:30,Male,PhD,Climate,6,0,English,CV,Slot 1
U00256,student,Germany,UTC+1,Non-binary,Masters,Neuro,4,1,Hindi,Climate,Slot 1
U00257,instructor,Brazil,UTC-3,Non-binary,Masters,Neuro,4,0,French,RL,Slot 1
U00258,ta,Brazil,UTC-3,Non-binary,Masters,Climate,2,0,French,Time Series,Slot 3
U00259,student,Germany,UTC+1,Male,UG,AI,5,0,Hindi,Climate,Slot 4
U00260,student,USA,UTC-5,Female,Masters,Climate,8,0,Spanish,Climate,Slot 3
U00261,student,Japan,UTC+9,Male,UG,AI,2,0,English,RL,Slot 2
U00262,student,Japan,UTC+9,Male,PhD,Neuro,9,1,French,Time Series,Slot 1
U00263,student,Kenya,UTC+3,Female,UG,AI,9,0,French,Climate,Slot 2
U00264,student,USA,UTC-5,Male,UG,AI,6,0,Hindi,Neural Coding,Slot 3
U00265,ta,UK,UTC+0,Female,PhD,AI,5,0,English,Neural Coding,Slot 3
U00266,student,Canada,UTC-5,Non-binary,PhD,Climate,0,0,Hindi,RL,Slot 5
U00267,ta,USA,UTC-5,Male,Masters,CS,6,0,Hindi,RL,Slot 5
U00268,student,UK,UTC+0,Male,PhD,AI,7,0,Spanish,RL,Slot 5
U00269,student,India,UTC+5:30,Male,PhD,AI,5,0,French,CV,Slot 2
U00270,student,UK,UTC+0,Non-binary,UG,Neuro,9,0,French,Neural Coding,Slot 3
U00271,student,Germany,UTC+1,Non-binary,PhD,Neuro,0,0,Spanish,Time Series,Slot 3
U00272,ta,USA,UTC-5,Non-binary,PhD,AI,3,1,Spanish,CV,Slot 5
U00273,student,UK,UTC+0,Non-binary,UG,CS,4,0,English,Neural Coding,Slot 5
U00274,student,Kenya,UTC+3,Non-binary,UG,Climate,3,0,English,RL,Slot 5
U00275,student,Kenya,UTC+3,Non-binary,Masters,Climate,9,0,Spanish,Time Series,Slot 4
U00276,student,Kenya,UTC+3,Female,UG,CS,3,0,Spanish,RL,Slot 4
U00277,student,Japan,UTC+9,Female,UG,Neuro,7,0,Spanish,NLP,Slot 3
U00278,student,UK,UTC+0,Female,UG,Neuro,1,0,English,NLP,Slot 2
U00279,student,Japan,UTC+9,Male,Masters,Climate,3,0,Spanish,CV,Slot 1
U00280,student,India,UTC+5:30,Female,Masters,Climate,4,1,Spanish,CV,Slot 3
U00281,instructor,UK,UTC+0,Male,UG,Climate,7,0,Hindi,RL,Slot 3
U00282,student,Japan,UTC+9,Male,UG,Climate,9,1,Hindi,CV,Slot 2
U00283,student,UK,UTC+0,Male,UG,Neuro,7,0,Hindi,Climate,Slot 4
U00284,student,Kenya,UTC+3,Non-binary,UG,CS,7,1,Hindi,CV,Slot 3
U00285,ta,UK,UTC+0,Female,Masters,CS,3,1,Hindi,Neural Coding,Slot 5
U00286,student,Germany,UTC+1,Female,PhD,Neuro,4,0,English,RL,Slot 5
U00287,student,Japan,UTC+9,Non-binary,Masters,CS,9,0,Spanish,Neural Coding,Slot 4
U00288,student,UK,UTC+0,Female,PhD,Neuro,7,1,Spanish,CV,Slot 5
U00289,ta,Canada,UTC-5,Non-binary,UG,CS,0,0,English,CV,Slot 3
U00290,instructor,Japan,UTC+9,Non-binary,Masters,AI,3,0,Spanish,NLP,Slot 5
U00291,ta,UK,UTC+0,Male,Masters,Neuro,5,0,French,Climate,Slot 5
U00292,student,Japan,UTC+9,Non-binary,PhD,Neuro,4,0,Hindi,Neural Coding,Slot 3
U00293,student,UK,UTC+0,Non-binary,UG,Climate,9,1,French,Time Series,Slot 1
U00294,student,Japan,UTC+9,Female,PhD,AI,8,0,English,Climate,Slot 4
U00295,student,Brazil,UTC-3,Non-binary,PhD,Climate,9,1,Spanish,Time Series,Slot 2
U00296,student,India,UTC+5:30,Non-binary,PhD,CS,1,0,Spanish,Neural Coding,Slot 4
U00297,ta,UK,UTC+0,Female,UG,Climate,2,0,Spanish,RL,Slot 5
U00298,student,Japan,UTC+9,Non-binary,PhD,CS,3,0,Spanish,Climate,Slot 2
U00299,ta,UK,UTC+0,Non-binary,Masters,Climate,0,0,French,CV,Slot 4
U00300,student,UK,UTC+0,Non-binary,Masters,Neuro,9,0,Hindi,CV,Slot 2
U00301,student,Kenya,UTC+3,Non-binary,Masters,AI,6,1,French,NLP,Slot 2
U00302,student,Japan,UTC+9,Female,Masters,Neuro,3,0,French,NLP,Slot 1
U00303,student,Canada,UTC-5,Female,Masters,AI,7,0,French,Neural Coding,Slot 3
U00304,student,USA,UTC-5,Female,Masters,Neuro,6,0,Hindi,CV,Slot 2
U00305,student,Kenya,UTC+3,Non-binary,PhD,Neuro,0,0,Spanish,Neural Coding,Slot 5
