application_id,user_id,program_id,application_date,motivation_score,cv_score,technical_score,diversity_score,preferred_program_track,preferred_timeslot,selected,waitlisted,final_status
A000066,U00076,P001,2026-03-01,67.87901401727659,35.748368039377354,62.75314210519647,78,Research,Slot 4,0,1,rejected
A000067,U00077,P007,2026-03-01,80.42076040143743,52.77358461964676,91.03438129308107,40,Research,Slot 3,1,0,accepted
A000068,U00078,P003,2026-03-01,50.2463397272175,63.03507931934759,69.77721020816287,90,Research,Slot 2,0,1,rejected
A000069,U00079,P001,2026-03-01,55.02429161614793,42.17996507488963,95.01824853681937,40,Research,Slot 4,0,1,rejected
A000070,U00080,P005,2026-03-01,69.20011460005396,46.98636879559814,42.40296882519713,90,Research,Slot 1,0,1,rejected
A000071,U00081,P008,2026-03-01,69.6513359057238,61.25692816016916,70.43894264859429,46,Research,Slot 4,1,0,accepted
A000072,U00082,P002,2026-03-01,59.07658637008148,37.09211133849408,63.00862765651729,74,Research,Slot 1,0,1,rejected
A000073,U00083,P006,2026-03-01,57.59006806144804,50.092264341443276,81.77986822792164,87,Research,Slot 2,0,1,rejected
A000074,U00084,P005,2026-03-01,51.477983686784164,35.37233692888879,62.588833732895296,61,Research,Slot 4,0,1,rejected
A000075,U00085,P001,2026-03-01,40.31495786561946,56.549755842216896,70.34713748752561,85,Research,Slot 3,0,1,rejected
A000076,U00086,P003,2026-03-01,47.35501593045034,32.06893547465423,73.1079864559171,45,Research,Slot 4,0,1,rejected
A000077,U00087,P001,2026-03-01,64.50738790043548,53.50011197935174,57.969958637222746,52,Research,Slot 2,0,1,rejected
A000078,U00088,P005,2026-03-01,73.14779825596503,44.34488711782354,63.47112641800934,48,Research,Slot 1,0,1,rejected
A000079,U00089,P004,2026-03-01,62.10546763441148,55.39453942356131,86.62998936994103,70,Research,Slot 2,1,0,accepted
A000080,U00090,P004,2026-03-01,45.98091932283762,63.20184197198417,78.94530217388517,88,Research,Slot 5,0,1,rejected
A000081,U00092,P005,2026-03-01,56.62811862208827,42.187032931769416,77.21880769688762,76,Research,Slot 2,0,1,rejected
A000082,U00093,P005,2026-03-01,74.10213804814408,48.549234042963676,44.750076861812374,68,Research,Slot 5,0,1,rejected
A000083,U00095,P005,2026-03-01,46.86625133524757,51.308741199486256,51.17183015575146,50,Research,Slot 2,0,1,rejected
A000084,U00097,P007,2026-03-01,52.76009668257391,48.04609648822976,87.61367806358196,59,Research,Slot 2,0,1,rejected
A000085,U00098,P002,2026-03-01,57.84390421431978,46.281421177213346,74.92955014519445,61,Research,Slot 4,0,1,rejected
A000086,U00099,P007,2026-03-01,50.3173181463135,58.002253380013485,72.71538378319657,70,Research,Slot 3,0,1,rejected
A000087,U00100,P003,2026-03-01,70.6927945757244,37.09282480211588,75.72435647137542,49,Research,Slot 2,0,1,rejected
A000088,U00101,P007,2026-03-01,76.71582950744397,67.59697192334312,94.29350235422471,55,Research,Slot 2,1,0,accepted
A000089,U00102,P002,2026-03-01,61.75536229578598,31.56206416519254,88.01700008901736,43,Research,Slot 1,0,1,rejected
A000090,U00103,P008,2026-03-01,61.43048769878952,58.49611988516213,51.09682151980128,74,Research,Slot 5,0,1,rejected
A000091,U00104,P002,2026-03-01,73.12902653919784,55.60015147407927,59.569673645334696,84,Research,Slot 5,0,1,rejected
A000092,U00105,P003,2026-03-01,58.41258273230628,43.8286482489761,39.80980774959117,57,Research,Slot 3,0,1,rejected
A000093,U00106,P002,2026-03-01,57.526722669221776,45.9921035502051,71.59083293908066,80,Research,Slot 5,0,1,rejected
A000094,U00107,P007,2026-03-01,59.12564671222819,55.483196275544984,90.24396537823222,74,Research,Slot 5,1,0,accepted
A000095,U00108,P005,2026-03-01,70.0380154833248,51.374763451411454,85.3316411668543,47,Research,Slot 2,1,0,accepted
A000096,U00109,P005,2026-03-01,49.3078934303884,34.16350174839502,90.89342649851798,41,Research,Slot 1,0,1,rejected
A000097,U00110,P001,2026-03-01,66.5839251192249,31.39552000075693,80.18718352716795,42,Research,Slot 5,0,1,rejected
A000098,U00111,P001,2026-03-01,70.0800400429326,44.503954153351664,93.64243614734227,46,Research,Slot 1,1,0,accepted
A000099,U00113,P004,2026-03-01,58.5571205736326,46.71055914642698,60.9697017676085,74,Research,Slot 1,0,1,rejected
A000100,U00114,P006,2026-03-01,61.552998414824394,31.65608693719417,73.59302580085755,58,Research,Slot 4,0,1,rejected
A000101,U00115,P006,2026-03-01,70.82962771019112,58.98139720816636,81.21213111667892,46,Research,Slot 1,1,0,accepted
A000102,U00116,P007,2026-03-01,61.29136953145172,48.236446635813174,84.24577223155335,72,Research,Slot 2,0,1,rejected
A000103,U00117,P005,2026-03-01,70.11847083639415,51.84564352545378,85.33074984598515,66,Research,Slot 4,1,0,accepted
A000104,U00118,P005,2026-03-01,65.68103205128646,39.50344501090059,78.89171723534396,49,Research,Slot 3,0,1,rejected
A000105,U00119,P003,2026-03-01,53.37920211666031,44.088832626152914,74.1515398434871,40,Research,Slot 5,0,1,rejected
A000106,U00120,P007,2026-03-01,43.10816962032739,45.2873625929748,100.0,54,Research,Slot 2,0,1,rejected
A000107,U00121,P006,2026-03-01,50.475647692096,51.53548638320741,100.0,41,Research,Slot 1,1,0,accepted
A000108,U00122,P007,2026-03-01,58.93880484430668,67.04651005928136,51.425038225761654,54,Research,Slot 5,0,1,rejected
A000109,U00124,P003,2026-03-01,53.70115447636189,45.117261575484555,42.95608368397225,67,Research,Slot 3,0,1,rejected
A000110,U00125,P005,2026-03-01,59.73484751271042,53.78070796001403,76.33326826071239,64,Research,Slot 5,0,1,rejected
A000111,U00126,P003,2026-03-01,57.87421372011432,44.79136334849144,81.77544724769587,49,Research,Slot 4,0,1,rejected
A000112,U00127,P005,2026-03-01,47.16854991553744,63.17282807777585,79.19249182690558,62,Research,Slot 4,0,1,rejected
A000113,U00128,P003,2026-03-01,68.0212845861812,58.62223511886977,65.98538112096341,81,Research,Slot 1,0,1,rejected
A000114,U00129,P001,2026-03-01,50.49864247116493,48.01314887051038,70.83772944207354,58,Research,Slot 1,0,1,rejected
A000115,U00131,P003,2026-03-01,53.05517124137782,40.450113521133595,39.363541232700555,54,Research,Slot 4,0,1,rejected
A000116,U00132,P005,2026-03-01,64.23683599627155,57.83964247889247,70.36758226549429,83,Research,Slot 5,0,1,rejected
A000117,U00133,P001,2026-03-01,66.30959077022914,51.35071879861794,92.74124900678213,64,Research,Slot 4,1,0,accepted
A000118,U00134,P008,2026-03-01,50.0830333655969,43.67119725115208,42.722646583954784,83,Research,Slot 3,0,1,rejected
A000119,U00135,P001,2026-03-01,49.59749733009195,56.649554577357165,76.17224817821679,85,Research,Slot 2,0,1,rejected
A000120,U00136,P002,2026-03-01,71.69394073696259,48.074837761574464,85.1183665232959,47,Research,Slot 4,1,0,accepted
A000121,U00137,P002,2026-03-01,51.00625872845346,50.06464187197597,44.87724407258925,71,Research,Slot 3,0,1,rejected
A000122,U00138,P002,2026-03-01,53.72106662216711,21.081674010497935,64.42645016344612,50,Research,Slot 5,0,1,rejected
A000123,U00140,P004,2026-03-01,47.46608828775845,41.3696509291701,95.60892722681805,47,Research,Slot 4,0,1,rejected
A000124,U00141,P001,2026-03-01,58.67434322655103,46.274311576235505,68.77066997318762,54,Research,Slot 2,0,1,rejected
A000125,U00143,P006,2026-03-01,62.31842092134848,61.460301441420654,82.99647422205837,46,Research,Slot 3,1,0,accepted
A000126,U00144,P006,2026-03-01,57.57301252174718,31.09989828817057,42.226285151540935,58,Research,Slot 4,0,1,rejected
A000127,U00145,P006,2026-03-01,70.00021715092822,66.9743218133677,76.84348516124982,62,Research,Slot 1,1,0,accepted
A000128,U00147,P005,2026-03-01,58.89187439720912,46.11756946478461,53.19117095492101,44,Research,Slot 3,0,1,rejected
A000129,U00148,P004,2026-03-01,38.44409060256892,45.50324926853776,95.55575608141035,79,Research,Slot 2,0,1,rejected
A000130,U00149,P005,2026-03-01,52.34190019941288,49.65478200168689,82.31899467363003,61,Research,Slot 2,0,1,rejected
A000131,U00150,P008,2026-03-01,69.31340923183002,50.71324316124489,64.55636418490906,47,Research,Slot 1,0,1,rejected
A000132,U00151,P001,2026-03-01,78.2995966975421,51.12066375178239,39.505769444153024,63,Research,Slot 3,0,1,rejected
A000133,U00152,P008,2026-03-01,55.578450297634795,49.820357115428436,91.41628864329489,45,Research,Slot 2,1,0,accepted
A000134,U00153,P008,2026-03-01,73.37806455426785,40.363099431481665,67.95378712073655,42,Research,Slot 3,0,1,rejected
A000135,U00154,P006,2026-03-01,60.718641644583336,46.491152263710006,93.8626142681536,78,Research,Slot 1,1,0,accepted
A000136,U00156,P005,2026-03-01,62.51925363309083,41.07230474142831,82.24203844700035,49,Research,Slot 2,0,1,rejected
A000137,U00157,P007,2026-03-01,57.44559785844791,46.9383414214449,88.93244628367128,51,Research,Slot 1,0,1,rejected
A000138,U00158,P001,2026-03-01,56.880980168911215,55.13232426815183,97.34598128302996,67,Research,Slot 4,1,0,accepted
A000139,U00159,P004,2026-03-01,76.40728941005534,46.01663555869763,76.87899967995911,73,Research,Slot 3,1,0,accepted
A000140,U00160,P004,2026-03-01,59.18048214936905,60.908226678555195,96.85369780823787,61,Research,Slot 1,1,0,accepted
A000141,U00161,P002,2026-03-01,65.58336423211705,68.56647436561954,65.45491476330751,78,Research,Slot 4,1,0,accepted
A000142,U00163,P004,2026-03-01,36.08043795686976,58.447743757817,55.18234028906525,51,Research,Slot 1,0,1,rejected
A000143,U00164,P007,2026-03-01,57.01740512685092,44.68110642498243,89.82413947533726,83,Research,Slot 3,0,1,rejected
A000144,U00165,P007,2026-03-01,59.37630660563346,48.22336743974938,57.34240181287108,67,Research,Slot 4,0,1,rejected
A000145,U00166,P002,2026-03-01,44.568817720571296,51.64294765370569,95.25210867540082,49,Research,Slot 3,0,1,rejected
A000146,U00167,P005,2026-03-01,56.39968503005043,55.24204170901547,100.0,82,Research,Slot 1,1,0,accepted
A000147,U00168,P001,2026-03-01,50.97809559527834,46.19003594066609,67.38708973249864,83,Research,Slot 3,0,1,rejected
A000148,U00169,P004,2026-03-01,68.8050766387854,54.96088496292565,90.46273609557666,59,Research,Slot 3,1,0,accepted
A000149,U00170,P007,2026-03-01,69.29409984790816,48.678634110984525,83.78756259905609,79,Research,Slot 4,1,0,accepted
A000150,U00173,P003,2026-03-01,54.01562419418953,40.33412109014685,84.76268697228578,58,Research,Slot 2,0,1,rejected
A000151,U00174,P001,2026-03-01,65.92040236700633,46.4584721006148,62.02056601065949,62,Research,Slot 3,0,1,rejected
A000152,U00175,P003,2026-03-01,52.79732281589463,34.729010850171306,90.40507977349104,46,Research,Slot 1,0,1,rejected
A000153,U00176,P004,2026-03-01,56.58825419329989,44.33489004768528,80.5757701075643,57,Research,Slot 4,0,1,rejected
A000154,U00177,P001,2026-03-01,52.54676516292909,43.2026677239962,58.79816561312795,71,Research,Slot 2,0,1,rejected
A000155,U00178,P007,2026-03-01,59.32770437849013,38.628212241974396,97.9364877386307,82,Research,Slot 1,1,0,accepted
A000156,U00179,P003,2026-03-01,73.94625388211176,39.54785637679289,61.071704026819205,63,Research,Slot 4,0,1,rejected
A000157,U00181,P006,2026-03-01,67.08560314856645,52.237873665578434,63.005152208391934,56,Research,Slot 5,0,1,rejected
A000158,U00182,P001,2026-03-01,69.3193454231631,60.96652268766096,58.02034244369471,85,Research,Slot 4,0,1,rejected
A000159,U00184,P003,2026-03-01,77.99618760051933,36.903631258914686,60.96823407407981,44,Research,Slot 4,0,1,rejected
A000160,U00185,P007,2026-03-01,69.4118186641997,51.91897735873036,50.35042041333062,90,Research,Slot 3,0,1,rejected
A000161,U00186,P001,2026-03-01,55.555009717897946,54.05719196379236,49.52316864758773,40,Research,Slot 3,0,1,rejected
A000162,U00188,P003,2026-03-01,64.04212865277331,57.158727446909595,48.07782399697343,49,Research,Slot 3,0,1,rejected
A000163,U00189,P001,2026-03-01,51.75387749565239,52.76600765511181,63.074035697196884,89,Research,Slot 5,0,1,rejected
A000164,U00190,P005,2026-03-01,59.975201688768394,61.16188064433848,91.95480650825479,81,Research,Slot 3,1,0,accepted
A000165,U00191,P005,2026-03-01,80.4206965292788,52.95279940620868,46.28340639141108,49,Research,Slot 5,0,1,rejected
A000166,U00192,P002,2026-03-01,69.95708420522706,34.902257068457885,62.23500859507,60,Research,Slot 5,0,1,rejected
A000167,U00193,P004,2026-03-01,65.85299436516338,55.14883596076372,61.45836470215384,49,Research,Slot 3,0,1,rejected
A000168,U00194,P008,2026-03-01,50.993286174875195,40.357999285767555,58.19925252635234,64,Research,Slot 2,0,1,rejected
A000169,U00195,P005,2026-03-01,70.71929865211797,41.20717217588012,54.87305237044995,68,Research,Slot 4,0,1,rejected
A000170,U00196,P005,2026-03-01,58.847757674478025,46.15057111589919,88.4859511986098,86,Research,Slot 5,0,1,rejected
A000171,U00197,P003,2026-03-01,71.39612940573444,43.0568118956117,73.84305793891463,90,Research,Slot 5,0,1,rejected
A000172,U00198,P004,2026-03-01,73.69701107654186,39.139454178819136,34.7016709179673,90,Research,Slot 4,0,1,rejected
A000173,U00199,P003,2026-03-01,62.98200278098241,49.95378311096478,82.89991888329978,70,Research,Slot 3,1,0,accepted
A000174,U00200,P007,2026-03-01,52.654266134274266,29.80186667661766,83.70807185541686,44,Research,Slot 4,0,1,rejected
A000175,U00201,P004,2026-03-01,71.78948399236668,55.96758646301849,52.874986353088346,47,Research,Slot 4,0,1,rejected
A000176,U00203,P004,2026-03-01,57.59032868287984,52.86792897544197,39.763460219878326,76,Research,Slot 4,0,1,rejected
A000177,U00204,P007,2026-03-01,57.81997191416862,49.3764535803122,73.34116950016622,67,Research,Slot 4,0,1,rejected
A000178,U00206,P002,2026-03-01,49.42602142256103,56.299808403475346,69.90915348926659,86,Research,Slot 1,0,1,rejected
A000179,U00207,P006,2026-03-01,73.58901514739537,50.248684840162966,56.277047574817054,57,Research,Slot 2,0,1,rejected
A000180,U00208,P007,2026-03-01,72.94985584816956,55.44220352340347,46.81235892788979,49,Research,Slot 4,0,1,rejected
A000181,U00209,P003,2026-03-01,67.5656467491314,36.05504931140739,55.38830267965381,45,Research,Slot 3,0,1,rejected
A000182,U00210,P006,2026-03-01,66.55971464959642,56.902663991729185,85.53891552295883,60,Research,Slot 3,1,0,accepted
A000183,U00211,P007,2026-03-01,52.35028246621403,54.520537580842245,71.64929019905827,48,Research,Slot 4,0,1,rejected
A000184,U00214,P004,2026-03-01,54.92266696770243,31.4058667405374,52.1781223918547,51,Research,Slot 1,0,1,rejected
A000185,U00215,P007,2026-03-01,72.52367096660775,55.53768462815432,68.41326494520749,89,Research,Slot 4,1,0,accepted
A000186,U00216,P007,2026-03-01,59.50795083826632,54.890838781507426,91.47575744936273,64,Research,Slot 3,1,0,accepted
A000187,U00217,P006,2026-03-01,70.26256426270984,55.337032009686375,89.70223529157171,62,Research,Slot 3,1,0,accepted
A000188,U00218,P004,2026-03-01,55.12294627051256,60.743330047702436,100.0,60,Research,Slot 5,1,0,accepted
A000189,U00219,P005,2026-03-01,58.89464402992318,62.17698144191415,94.72617642707742,71,Research,Slot 4,1,0,accepted
A000190,U00221,P007,2026-03-01,49.09103410027232,57.943011319770065,52.54599769870919,67,Research,Slot 3,0,1,rejected
A000191,U00223,P007,2026-03-01,73.1277311799006,34.896952455297495,77.86162576862057,70,Research,Slot 1,0,1,rejected
A000192,U00224,P006,2026-03-01,63.70211889941741,55.8431416643531,94.42417983451278,84,Research,Slot 2,1,0,accepted
A000193,U00225,P003,2026-03-01,49.09832150791033,56.473256114622245,66.64947904573104,66,Research,Slot 4,0,1,rejected
A000194,U00226,P008,2026-03-01,58.324426605987746,51.89405900779562,65.44561275785371,78,Research,Slot 3,0,1,rejected
A000195,U00227,P001,2026-03-01,51.565984515429626,52.22235636630524,83.13663153065175,90,Research,Slot 2,0,1,rejected
A000196,U00228,P003,2026-03-01,54.93397191724185,41.50670514170592,80.7775991999108,80,Research,Slot 4,0,1,rejected
A000197,U00229,P008,2026-03-01,57.59361945629929,35.39731985416431,90.90315810781972,61,Research,Slot 4,0,1,rejected
A000198,U00230,P002,2026-03-01,64.04335477630609,40.87705036817247,46.88547916237461,48,Research,Slot 2,0,1,rejected
A000199,U00231,P003,2026-03-01,55.39224986268347,42.304376188348755,100.0,81,Research,Slot 2,1,0,accepted
A000200,U00232,P004,2026-03-01,69.64415005616203,53.625425701364385,80.47302674776974,55,Research,Slot 5,1,0,accepted
A000201,U00233,P008,2026-03-01,45.229851371855716,38.36142282240175,67.29885398683444,64,Research,Slot 1,0,1,rejected
A000202,U00234,P008,2026-03-01,39.84816335642263,43.44622483932315,88.31622284658387,66,Research,Slot 1,0,1,rejected
A000203,U00235,P008,2026-03-01,51.30806021448397,37.73929407183693,61.14129279450443,75,Research,Slot 5,0,1,rejected
A000204,U00236,P004,2026-03-01,57.60407675346291,50.087634848853675,87.86482064644474,71,Research,Slot 5,1,0,accepted
A000205,U00237,P002,2026-03-01,55.80096997132409,42.010452278823365,63.449109095606765,74,Research,Slot 1,0,1,rejected
A000206,U00238,P003,2026-03-01,63.86382653848061,58.37764221546589,45.195657704339794,74,Research,Slot 4,0,1,rejected
A000207,U00239,P006,2026-03-01,65.27515015755601,20.988612181825914,87.58912747542776,71,Research,Slot 4,0,1,rejected
A000208,U00240,P005,2026-03-01,77.48575914058534,46.09268085591812,63.6649866588694,74,Research,Slot 1,0,1,rejected
A000209,U00241,P006,2026-03-01,58.27263174832996,53.6709584173386,87.81918788126312,74,Research,Slot 1,1,0,accepted
A000210,U00242,P001,2026-03-01,62.46083615316409,41.97719972860457,63.6640220667223,54,Research,Slot 3,0,1,rejected
A000211,U00244,P004,2026-03-01,58.422530167685146,43.58333179869618,62.18417423471641,64,Research,Slot 4,0,1,rejected
A000212,U00245,P001,2026-03-01,74.14295106004421,58.62910742958214,76.6535191762353,45,Research,Slot 2,1,0,accepted
A000213,U00246,P008,2026-03-01,50.37348988081024,56.92769031848861,100.0,77,Research,Slot 4,1,0,accepted
A000214,U00247,P003,2026-03-01,59.31472755142475,46.50134161004207,61.05833066294713,85,Research,Slot 1,0,1,rejected
A000215,U00248,P001,2026-03-01,52.561139346744156,43.47786510069494,43.25657046428074,66,Research,Slot 4,0,1,rejected
A000216,U00249,P004,2026-03-01,57.26505699469268,60.63943446228063,53.949050359560545,73,Research,Slot 5,0,1,rejected
A000217,U00251,P006,2026-03-01,69.59440532083089,62.85385279014271,80.03985442850573,76,Research,Slot 3,1,0,accepted
A000218,U00252,P007,2026-03-01,54.48542691644922,50.24103226477347,48.7441936231196,89,Research,Slot 4,0,1,rejected
A000219,U00253,P006,2026-03-01,54.52341894628616,52.19657257158055,56.041205059847414,84,Research,Slot 1,0,1,rejected
A000220,U00254,P002,2026-03-01,83.88371992870438,61.84256645196173,75.21421332327012,87,Research,Slot 2,1,0,accepted
A000221,U00255,P002,2026-03-01,61.11799158203388,60.07157200596669,87.22826894985512,54,Research,Slot 1,1,0,accepted
A000222,U00256,P002,2026-03-01,62.10600839297642,45.115239198896404,75.17994776391451,84,Research,Slot 1,0,1,rejected
A000223,U00259,P006,2026-03-01,61.1485239956271,54.918732124419854,86.31810161215424,45,Research,Slot 4,1,0,accepted
A000224,U00260,P006,2026-03-01,46.34978204573365,57.01494781924715,76.90366636309196,55,Research,Slot 3,0,1,rejected
A000225,U00261,P002,2026-03-01,57.14905742957986,51.38645183710084,76.04339108308596,63,Research,Slot 2,0,1,rejected
A000226,U00262,P003,2026-03-01,57.64083470687876,45.931147554956254,84.1387370081859,40,Research,Slot 1,0,1,rejected
A000227,U00263,P008,2026-03-01,62.88229130345295,40.76527583158166,89.09112637569179,53,Research,Slot 2,0,1,rejected
A000228,U00264,P004,2026-03-01,58.000171014432205,39.70833089254067,68.41005399476005,41,Research,Slot 3,0,1,rejected
