ticket_id,user_id,program_id,channel,issue_type,response_time_hours,resolved,satisfaction
T00123,U01142,P008,discord,technical,20.72,1,3
T00124,U01346,P003,discord,admin,1.43,1,3
T00125,U01486,P001,discord,academic,7.82,1,5
T00126,U01212,P002,email,academic,1.59,1,5
T00127,U00620,P008,email,admin,21.09,1,4
T00128,U00634,P006,discord,technical,7.92,1,5
T00129,U01260,P002,email,technical,1.71,1,3
T00130,U00021,P003,email,academic,12.64,1,5
T00131,U00844,P007,email,technical,14.75,1,4
T00132,U00877,P002,email,technical,5.55,1,4
T00133,U01242,P006,email,technical,23.48,1,5
T00134,U00876,P002,email,technical,8.81,1,3
T00135,U00247,P004,discord,technical,21.83,1,5
T00136,U00427,P003,discord,technical,20.62,1,3
T00137,U01118,P001,discord,admin,20.39,1,3
T00138,U01333,P002,discord,admin,7.94,1,5
T00139,U00524,P001,email,technical,21.32,1,4
T00140,U00235,P003,discord,admin,16.17,1,3
T00141,U00659,P006,discord,academic,13.26,1,4
T00142,U00927,P006,discord,academic,18.27,1,5
T00143,U00169,P001,discord,technical,4.4,1,5
T00144,U00238,P005,discord,technical,14.56,1,4
T00145,U01468,P004,discord,technical,21.56,1,4
T00146,U01358,P006,email,technical,16.7,1,4
T00147,U00590,P008,email,academic,20.41,1,3
T00148,U00633,P003,discord,admin,13.07,1,5
T00149,U01097,P006,email,academic,19.65,1,3
T00150,U01147,P003,email,technical,2.51,1,4
T00151,U00407,P005,email,academic,4.96,1,5
T00152,U00441,P005,email,admin,16.71,1,5
T00153,U01222,P002,email,academic,14.86,1,5
T00154,U00374,P004,email,academic,5.11,1,4
T00155,U01112,P006,email,admin,9.81,1,4
T00156,U00739,P005,email,academic,16.5,1,3
T00157,U00102,P006,email,academic,6.54,1,5
T00158,U00075,P004,discord,admin,20.13,1,5
T00159,U00578,P002,email,technical,16.92,1,5
T00160,U00915,P006,discord,academic,7.95,1,3
T00161,U00026,P002,email,admin,6.03,1,4
T00162,U00547,P007,email,technical,15.29,1,5
T00163,U00018,P001,discord,admin,1.52,1,4
T00164,U01050,P001,discord,admin,9.66,1,4
T00165,U00662,P005,discord,admin,1.58,1,5
T00166,U00404,P001,email,technical,15.55,1,3
T00167,U01000,P008,email,admin,10.3,1,5
T00168,U00607,P001,discord,technical,5.28,1,4
T00169,U01316,P008,email,technical,18.88,1,3
T00170,U01069,P008,discord,technical,18.54,1,4
T00171,U00357,P008,email,academic,11.51,1,4
T00172,U01244,P007,email,academic,14.36,1,3
T00173,U01104,P007,discord,technical,12.18,1,3
T00174,U01423,P003,discord,academic,15.8,1,5
T00175,U00412,P005,email,admin,14.63,1,4
T00176,U00186,P002,email,technical,9.74,1,3
T00177,U00561,P001,discord,academic,22.52,1,3
T00178,U00760,P002,discord,admin,20.12,1,4
T00179,U00086,P008,discord,technical,15.4,1,5
T00180,U01061,P006,discord,technical,10.65,1,5
T00181,U00832,P006,email,academic,19.18,1,3
T00182,U01139,P004,discord,admin,3.02,1,3
T00183,U01370,P003,email,technical,20.28,1,4
T00184,U00678,P001,discord,admin,23.03,1,4
T00185,U00884,P003,discord,technical,2.37,1,5
T00186,U00120,P008,discord,admin,5.29,1,3
T00187,U01096,P007,email,admin,16.51,1,5
T00188,U00187,P006,discord,academic,7.66,1,4
T00189,U00628,P007,email,admin,23.81,1,5
T00190,U01039,P005,discord,admin,20.48,1,3
T00191,U00136,P002,email,academic,18.6,1,5
T00192,U00410,P007,email,technical,6.12,1,3
T00193,U00889,P007,discord,technical,14.09,1,4
T00194,U00064,P004,email,academic,1.94,1,3
T00195,U00775,P004,discord,admin,2.34,1,5
T00196,U00392,P004,discord,technical,9.2,1,3
T00197,U00299,P004,email,admin,21.18,1,5
T00198,U00018,P001,discord,academic,14.37,1,5
T00199,U00768,P004,email,academic,2.09,1,3
T00200,U00347,P002,discord,technical,1.93,1,5
T00201,U01411,P005,email,admin,22.84,1,3
T00202,U01418,P008,email,academic,2.24,1,5
T00203,U01342,P006,email,technical,7.48,1,3
T00204,U00706,P006,email,technical,1.79,1,4
T00205,U00354,P002,discord,technical,15.9,1,3
T00206,U00744,P007,discord,technical,14.2,1,3
T00207,U01062,P001,discord,admin,22.31,1,5
T00208,U00348,P004,discord,admin,13.59,1,3
T00209,U00385,P002,discord,technical,15.71,1,3
T00210,U00604,P002,email,admin,15.23,1,4
T00211,U00402,P002,discord,technical,12.28,1,5
T00212,U01419,P002,discord,admin,1.67,1,5
T00213,U00864,P003,discord,admin,5.31,1,4
T00214,U01453,P005,email,academic,5.55,1,4
T00215,U00042,P008,discord,technical,14.77,1,3
T00216,U00302,P007,discord,admin,16.52,1,5
T00217,U00615,P005,discord,admin,4.93,1,3
T00218,U00436,P006,discord,admin,8.93,1,3
T00219,U00429,P001,discord,academic,9.09,1,4
T00220,U01384,P005,discord,technical,10.76,1,4
T00221,U00893,P002,discord,technical,5.81,1,4
T00222,U01495,P001,email,academic,4.5,1,3
T00223,U01422,P003,email,admin,23.95,1,5
T00224,U00682,P005,discord,academic,17.88,1,3
T00225,U01229,P002,discord,admin,13.05,1,3
T00226,U00684,P008,discord,admin,2.72,1,3
T00227,U00398,P003,email,academic,1.29,1,3
T00228,U01361,P003,email,technical,1.96,1,3
T00229,U01224,P005,discord,admin,9.96,1,3
T00230,U00824,P004,discord,technical,23.89,1,3
T00231,U00684,P006,email,academic,8.64,1,5
T00232,U01204,P001,email,academic,11.87,1,3
T00233,U00139,P008,email,technical,1.01,1,4
T00234,U01084,P007,email,academic,19.76,1,4
T00235,U00589,P001,discord,admin,9.18,1,4
T00236,U01009,P007,email,academic,3.88,1,5
T00237,U01110,P005,discord,academic,19.34,1,5
T00238,U00777,P004,email,technical,10.65,1,3
T00239,U00111,P008,discord,academic,18.92,1,5
T00240,U01200,P003,discord,technical,9.9,1,4
T00241,U00138,P006,discord,technical,6.61,1,5
T00242,U00634,P003,email,admin,19.78,1,5
T00243,U00890,P006,discord,technical,12.21,1,5
T00244,U00724,P003,discord,academic,12.24,1,5
T00245,U00954,P008,email,technical,3.4,1,3
T00246,U00580,P002,email,technical,13.57,1,3
T00247,U01275,P007,email,academic,2.73,1,4
T00248,U00179,P007,discord,technical,16.67,1,4
T00249,U01252,P002,email,academic,23.28,1,5
T00250,U00540,P002,email,academic,2.07,1,5
T00251,U01091,P003,discord,admin,3.77,1,3
T00252,U01439,P002,discord,technical,19.77,1,5
T00253,U01336,P008,email,technical,4.57,1,3
T00254,U01337,P006,email,technical,18.67,1,5
T00255,U00305,P002,email,admin,6.43,1,3
T00256,U01479,P007,discord,admin,2.63,1,4
T00257,U00659,P006,discord,academic,5.92,1,5
T00258,U01161,P006,discord,admin,11.37,1,4
T00259,U00540,P005,discord,technical,5.51,1,3
T00260,U00123,P007,discord,academic,12.86,1,3
T00261,U00624,P006,discord,academic,12.13,1,4
T00262,U00629,P005,email,academic,2.25,1,4
T00263,U00382,P002,discord,admin,20.63,1,5
T00264,U00574,P003,discord,technical,21.92,1,4
T00265,U01083,P003,email,admin,5.21,1,5
T00266,U00206,P008,discord,admin,1.49,1,4
T00267,U00590,P006,discord,technical,12.38,1,5
T00268,U00567,P001,email,admin,2.9,1,5
T00269,U00880,P001,discord,admin,12.42,1,4
T00270,U01049,P006,email,admin,7.65,1,4
T00271,U00811,P001,email,academic,15.07,1,3
T00272,U00345,P004,discord,admin,12.98,1,3
T00273,U00784,P003,email,technical,13.82,1,3
T00274,U00262,P004,email,admin,10.61,1,3
T00275,U00488,P007,discord,academic,11.97,1,4
T00276,U00202,P007,discord,admin,4.2,1,5
T00277,U00089,P005,email,technical,13.66,1,4
T00278,U00199,P002,discord,technical,19.26,1,3
T00279,U01106,P006,discord,technical,21.83,1,4
T00280,U00521,P005,discord,academic,10.28,1,4
T00281,U01406,P006,email,academic,19.4,1,5
T00282,U01327,P002,email,academic,15.83,1,4
T00283,U01327,P008,email,admin,8.18,1,4
T00284,U00989,P003,email,admin,5.36,1,4
T00285,U01076,P004,discord,academic,12.48,1,3
T00286,U00650,P005,email,technical,14.22,1,3
T00287,U00655,P005,discord,academic,3.75,1,3
T00288,U01098,P002,discord,academic,12.3,1,4
T00289,U00726,P002,email,technical,10.89,1,5
T00290,U00602,P006,email,academic,23.68,1,4
T00291,U01035,P004,discord,technical,15.54,1,4
T00292,U00369,P004,email,admin,5.03,1,4
T00293,U00526,P003,discord,admin,14.74,1,3
T00294,U01370,P001,discord,admin,16.77,1,4
T00295,U00619,P003,email,technical,22.6,1,4
T00296,U01253,P005,email,technical,2.11,1,5
T00297,U00210,P004,discord,admin,23.92,1,4
T00298,U00107,P004,discord,admin,7.27,1,4
T00299,U00525,P007,discord,technical,17.81,1,4
